query_originale,adresse_normalisee,numero,rue,code_postal,ville,departement,longitude,latitude,score_geocodage,type_site,source,erreur
20 avenue de la République Paris,20 Avenue de la République 75011 Paris,20,Avenue de la République,75011,Paris,75,2.368607,48.866242,0.98,bureau,api_adresse_gouv,
15 rue du Commerce Lyon,15 Quai du Commerce 69009 Lyon,15,Quai du Commerce,69009,Lyon,69,4.811151,45.783104,0.602,commerce,api_adresse_gouv,
3 boulevard Gambetta Marseille,3 Boulevard gambetta 13015 Marseille,3,Boulevard gambetta,13015,Marseille,13,5.343188,43.373851,0.969,bureau,api_adresse_gouv,
10 rue des Fleurs Bordeaux,10 Rue Fleur de Lys 33370 Artigues-près-Bordeaux,10,Rue Fleur de Lys,33370,Artigues-près-Bordeaux,33,-0.481982,44.850078,0.514,entrepot,api_adresse_gouv,
25 avenue Jean Jaurès Toulouse,25 Allées Jean Jaurès 31000 Toulouse,25,Allées Jean Jaurès,31000,Toulouse,31,1.449374,43.606553,0.612,bureau,api_adresse_gouv,
8 place de la Mairie Nantes,8 Place de la Mairie 77100 Nanteuil-lès-Meaux,8,Place de la Mairie,77100,Nanteuil-lès-Meaux,77,2.896658,48.928545,0.643,commerce,api_adresse_gouv,
12 rue Victor Hugo Lille,12 Rue Victor Hugo 76170 Lillebonne,12,Rue Victor Hugo,76170,Lillebonne,76,0.536034,49.517861,0.873,bureau,api_adresse_gouv,
5 allée des Roses Strasbourg,5 Rue des Roses 67100 Strasbourg,5,Rue des Roses,67100,Strasbourg,67,7.759825,48.568932,0.667,entrepot,api_adresse_gouv,
30 rue de la Paix Nice,30 Rue de la Paix 30900 Nîmes,30,Rue de la Paix,30900,Nîmes,30,4.348297,43.82911,0.714,bureau,api_adresse_gouv,
18 boulevard du Général de Gaulle Rennes,18 Rue du Général de Gaulle 29290 Saint-Renan,18,Rue du Général de Gaulle,29290,Saint-Renan,29,-4.624688,48.431605,0.534,commerce,api_adresse_gouv,
